item,id
egg mcmuffin,0
egg white delight,1
sausage mcmuffin,2
sausage mcmuffin with egg,3
sausage mcmuffin with egg whites,4
steak & egg mcmuffin,5
"bacon, egg & cheese biscuit (regular biscuit)",6
"bacon, egg & cheese biscuit (large biscuit)",7
"bacon, egg & cheese biscuit with egg whites (regular biscuit)",8
"bacon, egg & cheese biscuit with egg whites (large biscuit)",9
sausage biscuit (regular biscuit),10
sausage biscuit (large biscuit),11
sausage biscuit with egg (regular biscuit),12
sausage biscuit with egg (large biscuit),13
sausage biscuit with egg whites (regular biscuit),14
sausage biscuit with egg whites (large biscuit),15
southern style chicken biscuit (regular biscuit),16
southern style chicken biscuit (large biscuit),17
steak & egg biscuit (regular biscuit),18
"bacon, egg & cheese mcgriddles",19
"bacon, egg & cheese mcgriddles with egg whites",20
sausage mcgriddles,21
"sausage, egg & cheese mcgriddles",22
"sausage, egg & cheese mcgriddles with egg whites",23
"bacon, egg & cheese bagel",24
"bacon, egg & cheese bagel with egg whites",25
"steak, egg & cheese bagel",26
big breakfast (regular biscuit),27
big breakfast (large biscuit),28
big breakfast with egg whites (regular biscuit),29
big breakfast with egg whites (large biscuit),30
big breakfast with hotcakes (regular biscuit),31
big breakfast with hotcakes (large biscuit),32
big breakfast with hotcakes and egg whites (regular biscuit),33
big breakfast with hotcakes and egg whites (large biscuit),34
hotcakes,35
hotcakes and sausage,36
sausage burrito,37
hash brown,38
cinnamon melts,39
fruit & maple oatmeal,40
fruit & maple oatmeal without brown sugar,41
big mac,42
quarter pounder with cheese,43
quarter pounder with bacon & cheese,44
quarter pounder with bacon habanero ranch,45
quarter pounder deluxe,46
double quarter pounder with cheese,47
hamburger,48
cheeseburger,49
double cheeseburger,50
bacon clubhouse burger,51
mcdouble,52
bacon mcdouble,53
daily double,54
jalapeno double,55
mcrib,56
premium crispy chicken classic sandwich,57
premium grilled chicken classic sandwich,58
premium crispy chicken club sandwich,59
premium grilled chicken club sandwich,60
premium crispy chicken ranch blt sandwich,61
premium grilled chicken ranch blt sandwich,62
bacon clubhouse crispy chicken sandwich,63
bacon clubhouse grilled chicken sandwich,64
southern style crispy chicken sandwich,65
mcchicken,66
bacon cheddar mcchicken,67
bacon buffalo ranch mcchicken,68
buffalo ranch mcchicken,69
premium mcwrap chicken & bacon (crispy chicken),70
premium mcwrap chicken & bacon (grilled chicken),71
premium mcwrap chicken & ranch (crispy chicken),72
premium mcwrap chicken & ranch (grilled chicken),73
premium mcwrap southwest chicken (crispy chicken),74
premium mcwrap southwest chicken (grilled chicken),75
premium mcwrap chicken sweet chili (crispy chicken),76
premium mcwrap chicken sweet chili (grilled chicken),77
chicken mcnuggets (4 piece),78
chicken mcnuggets (6 piece),79
chicken mcnuggets (10 piece),80
chicken mcnuggets (20 piece),81
chicken mcnuggets (40 piece),82
filet o fish,83
premium bacon ranch salad (without chicken),84
premium bacon ranch salad with crispy chicken,85
premium bacon ranch salad with grilled chicken,86
premium southwest salad (without chicken),87
premium southwest salad with crispy chicken,88
premium southwest salad with grilled chicken,89
chipotle bbq snack wrap (crispy chicken),90
chipotle bbq snack wrap (grilled chicken),91
honey mustard snack wrap (crispy chicken),92
honey mustard snack wrap (grilled chicken),93
ranch snack wrap (crispy chicken),94
ranch snack wrap (grilled chicken),95
small french fries,96
medium french fries,97
large french fries,98
kids french fries,99
side salad,100
apple slices,101
fruit 'n yogurt parfait,102
baked apple pie,103
chocolate chip cookie,104
oatmeal raisin cookie,105
kids ice cream cone,106
hot fudge sundae,107
hot caramel sundae,108
strawberry sundae,109
coca cola classic (small),110
coca cola classic (medium),111
coca cola classic (large),112
coca cola classic (child),113
diet coke (small),114
diet coke (medium),115
diet coke (large),116
diet coke (child),117
dr pepper (small),118
dr pepper (medium),119
dr pepper (large),120
dr pepper (child),121
diet dr pepper (small),122
diet dr pepper (medium),123
diet dr pepper (large),124
diet dr pepper (child),125
sprite (small),126
sprite (medium),127
sprite (large),128
sprite (child),129
1% low fat milk jug,130
fat free chocolate milk jug,131
minute maid 100% apple juice box,132
minute maid orange juice (small),133
minute maid orange juice (medium),134
minute maid orange juice (large),135
dasani water bottle,136
iced tea (small),137
iced tea (medium),138
iced tea (large),139
iced tea (child),140
sweet tea (small),141
sweet tea (medium),142
sweet tea (large),143
sweet tea (child),144
coffee (small),145
coffee (medium),146
coffee (large),147
latte (small),148
latte (medium),149
latte (large),150
caramel latte (small),151
caramel latte (medium),152
caramel latte (large),153
hazelnut latte (small),154
hazelnut latte (medium),155
hazelnut latte (large),156
french vanilla latte (small),157
french vanilla latte (medium),158
french vanilla latte (large),159
latte with sugar free french vanilla syrup (small),160
latte with sugar free french vanilla syrup (medium),161
latte with sugar free french vanilla syrup (large),162
nonfat latte (small),163
nonfat latte (medium),164
nonfat latte (large),165
nonfat caramel latte (small),166
nonfat caramel latte (medium),167
nonfat caramel latte (large),168
nonfat hazelnut latte (small),169
nonfat hazelnut latte (medium),170
nonfat hazelnut latte (large),171
nonfat french vanilla latte (small),172
nonfat french vanilla latte (medium),173
nonfat french vanilla latte (large),174
nonfat latte with sugar free french vanilla syrup (small),175
nonfat latte with sugar free french vanilla syrup (medium),176
nonfat latte with sugar free french vanilla syrup (large),177
mocha (small),178
mocha (medium),179
mocha (large),180
mocha with nonfat milk (small),181
mocha with nonfat milk (medium),182
mocha with nonfat milk (large),183
caramel mocha (small),184
caramel mocha (medium),185
caramel mocha (large),186
nonfat caramel mocha (small),187
nonfat caramel mocha (medium),188
nonfat caramel mocha (large),189
hot chocolate (small),190
hot chocolate (medium),191
hot chocolate (large),192
hot chocolate with nonfat milk (small),193
hot chocolate with nonfat milk (medium),194
hot chocolate with nonfat milk (large),195
regular iced coffee (small),196
regular iced coffee (medium),197
regular iced coffee (large),198
caramel iced coffee (small),199
caramel iced coffee (medium),200
caramel iced coffee (large),201
hazelnut iced coffee (small),202
hazelnut iced coffee (medium),203
hazelnut iced coffee (large),204
french vanilla iced coffee (small),205
french vanilla iced coffee (medium),206
french vanilla iced coffee (large),207
iced coffee with sugar free french vanilla syrup (small),208
iced coffee with sugar free french vanilla syrup (medium),209
iced coffee with sugar free french vanilla syrup (large),210
iced mocha (small),211
iced mocha (medium),212
iced mocha (large),213
iced mocha with nonfat milk (small),214
iced mocha with nonfat milk (medium),215
iced mocha with nonfat milk (large),216
iced caramel mocha (small),217
iced caramel mocha (medium),218
iced caramel mocha (large),219
iced nonfat caramel mocha (small),220
iced nonfat caramel mocha (medium),221
iced nonfat caramel mocha (large),222
frappe mocha (small),223
frappe mocha (medium),224
frappe mocha (large),225
frappe caramel (small),226
frappe caramel (medium),227
frappe caramel (large),228
frappe chocolate chip (small),229
frappe chocolate chip (medium),230
frappe chocolate chip (large),231
blueberry pomegranate smoothie (small),232
blueberry pomegranate smoothie (medium),233
blueberry pomegranate smoothie (large),234
strawberry banana smoothie (small),235
strawberry banana smoothie (medium),236
strawberry banana smoothie (large),237
mango pineapple smoothie (small),238
mango pineapple smoothie (medium),239
mango pineapple smoothie (large),240
vanilla shake (small),241
vanilla shake (medium),242
vanilla shake (large),243
strawberry shake (small),244
strawberry shake (medium),245
