,Category, Calories, Fat (g), Carb. (g), Fiber (g), Protein (g)
Chonga Bagel,Breakfast,300,5,50,3,12
8-Grain Roll,Breakfast,380,6,70,7,10
Almond Croissant,Breakfast,410,22,45,3,10
Apple Fritter,Breakfast,460,23,56,2,7
Banana Nut Bread,Breakfast,420,22,52,2,6
Blueberry Muffin with Yogurt and Honey,Breakfast,380,16,53,1,6
Blueberry Scone,Breakfast,420,17,61,2,5
Butter Croissant,Breakfast,240,12,28,1,5
Butterfly Cookie,Desert,350,22,38,0,2
Cheese Danish,Breakfast,320,16,36,1,8
Chewy Chocolate Cookie,Desert,170,5,30,2,2
Starbucks Chocolate Chip Cookie,Desert,310,15,42,2,4
Chocolate Chunk Muffin,Breakfast,440,21,60,2,7
Chocolate Croissant,Breakfast,330,18,38,1,6
Chocolate Hazelnut Croissant,Breakfast,390,22,43,2,7
Chocolate Marble Loaf Cake,Desert,490,24,64,2,6
Cinnamon Morning Bun,Breakfast,390,15,56,2,8
Cinnamon Raisin Bagel,Breakfast,270,1,58,3,9
Classic Coffee Cake,Breakfast,390,16,57,1,5
Cookie Butter Bar,Desert,360,23,36,0,2
Cranberry Orange Scone,Breakfast,420,15,64,1,6
Devil's Food Doughnut,Breakfast,430,23,53,2,5
Double Chocolate Brownie,Desert,410,24,46,3,6
Double Chocolate Chunk Brownie,Desert,490,28,55,3,7
Double Chocolate Loaf Cake,Desert,440,23,54,3,5
Everybody's Favorite - Bantam Bagel (2 Pack),Breakfast,100,3.5,14,0,3
Everything Bagel with Cheese,Breakfast,290,3.5,53,2,11
Frappuccino® Cookie Straw,Breakfast,90,3,14,0,1
French Toast - Bantam Bagels (2 Pack),Breakfast,200,8,30,0,6
Gluten-Free Marshmallow Dream Bar,Desert,240,5,45,0,2
Ice Cream Cone Sugar Cookie,Desert,250,14,29,1,3
Iced Lemon Pound Cake,Desert,470,20,68,1,6
Michigan Cherry Oat Bar,Breakfast,310,10,47,2,3
Multigrain Bagel,Breakfast,350,4,64,8,17
Oatmeal Cookie,Desert,290,12,40,3,5
Octopus Cookie,Desert,330,18,39,1,3
Old-Fashioned Glazed Doughnut,Breakfast,480,27,56,1,5
Peanut butter cup cookie,Desert,360,21,36,3,8
Pecan Tart,Desert,330,18,39,1,4
Petite Vanilla Bean Scone,Breakfast,120,4.5,18,0,2
Plain Bagel,Breakfast,280,1.5,56,2,9
Pumpkin Bread,Breakfast,410,15,63,2,6
Raspberry Swirl Loaf Cake,Breakfast,420,17,61,1,6
Raspberry Whoopie Pie,Desert,360,18,45,1,3
